LinkNum	43
LinkNum    Source    Sink     Cost     TotalCapacity    Delay    Location    
0 0 1 1 281 1 14
1 0 5 1 262 1 14
2 1 2 1 209 1 14
3 1 5 1 241 1 14
4 2 3 1 218 1 14
5 2 4 1 236 1 14
6 2 6 1 209 1 14
7 3 4 1 256 1 14
8 3 6 1 293 1 14
9 4 7 1 254 1 14
10 5 6 1 291 1 14
11 5 8 1 214 1 14
12 5 10 1 269 1 14
13 6 7 1 223 1 14
14 6 8 1 262 1 14
15 7 9 1 222 1 14
16 8 9 1 292 1 14
17 8 10 1 225 1 14
18 8 11 1 230 1 14
19 9 12 1 200 1 14
20 9 13 1 299 1 14
21 10 11 1 249 1 14
22 10 14 1 220 1 14
23 10 18 1 262 1 14
24 11 12 1 214 1 14
25 11 15 1 269 1 14
26 12 13 1 215 1 14
27 12 16 1 270 1 14
28 13 17 1 224 1 14
29 14 15 1 293 1 14
30 14 19 1 291 1 14
31 15 16 1 205 1 14
32 15 20 1 237 1 14
33 15 21 1 285 1 14
34 16 17 1 273 1 14
35 16 21 1 276 1 14
36 16 22 1 240 1 14
37 17 23 1 219 1 14
38 18 19 1 219 1 14
39 19 20 1 250 1 14
40 20 21 1 266 1 14
41 21 22 1 209 1 14
42 22 23 1 272 1 14
